date,model,dataset,params,mean_objective,std_objective,mean_time,std_time,worst_case,type,version
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 132, 'metric': 'multi_error', 'lambda_l1': 2.514190390079707, 'lambda_l2': 3.3597869019591464e-08, 'num_leaves': 151, 'feature_fraction': 0.48036739822794144, 'bagging_fraction': 0.7317320048402942, 'bagging_freq': 6, 'min_data_in_leaf': 258}",-1.8717049547838909,0.0002922621354426,106.83659029006958,0.0987551414425892,-1.8719972169193333,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 202, 'metric': 'multi_error', 'lambda_l1': 3.290880874043016e-07, 'lambda_l2': 7.241575966019474e-06, 'num_leaves': 220, 'feature_fraction': 0.7411495474432144, 'bagging_fraction': 0.8687647477034426, 'bagging_freq': 2, 'min_data_in_leaf': 894}",-1.8720338160127283,9.85049118290202e-05,112.60809508959451,0.7986877436172184,-1.8721323209245573,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 419, 'metric': 'auc_mu', 'lambda_l1': 4.3438731067049566e-08, 'lambda_l2': 0.18978111450291232, 'num_leaves': 65, 'feature_fraction': 0.6465119675720012, 'bagging_fraction': 0.7343791888443933, 'bagging_freq': 2, 'min_data_in_leaf': 221}",-1.8721352147365544,0.0002055199291876,89.66935920715332,0.4377744987532699,-1.8723407346657424,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 244, 'metric': 'multi_logloss', 'lambda_l1': 0.021067742077262364, 'lambda_l2': 0.012119169447700629, 'num_leaves': 101, 'feature_fraction': 0.8015662630248985, 'bagging_fraction': 0.7021247755159299, 'bagging_freq': 1, 'min_data_in_leaf': 912}",-1.8723381295749928,0.0001438370311254,96.70076076189676,6.76057745535895,-1.872481966606118,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 470, 'metric': 'multi_logloss', 'lambda_l1': 1.0396554650001227e-08, 'lambda_l2': 0.06604271188956734, 'num_leaves': 24, 'feature_fraction': 0.9564622802688652, 'bagging_fraction': 0.8588897570820374, 'bagging_freq': 2, 'min_data_in_leaf': 841}",-1.873908581246571,0.0001660590073479,65.13041090965271,6.636625008246331,-1.874074640253919,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 306, 'metric': 'multi_error', 'lambda_l1': 0.00029858992582119465, 'lambda_l2': 9.15841920990447, 'num_leaves': 6, 'feature_fraction': 0.4334508453548725, 'bagging_fraction': 0.6229049415306209, 'bagging_freq': 3, 'min_data_in_leaf': 91}",-1.8791745473306405,0.0003958153773171,63.17504938443502,0.8749762629317285,-1.8795703627079572,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 164, 'metric': 'multi_logloss', 'lambda_l1': 0.0001274961755271589, 'lambda_l2': 2.4720164420731847, 'num_leaves': 197, 'feature_fraction': 0.8107399844092763, 'bagging_fraction': 0.7389844676095774, 'bagging_freq': 3, 'min_data_in_leaf': 923}",-2.1993458183951966,,,,,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 391, 'metric': 'multi_logloss', 'lambda_l1': 2.0407471125157863e-08, 'lambda_l2': 0.05763463148461977, 'num_leaves': 105, 'feature_fraction': 0.7217761293040417, 'bagging_fraction': 0.5005025685841038, 'bagging_freq': 7, 'min_data_in_leaf': 633}",-2.1989950416511705,,,,,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 299, 'metric': 'multi_error', 'lambda_l1': 0.008356177108917508, 'lambda_l2': 6.318669975937352e-06, 'num_leaves': 256, 'feature_fraction': 0.9918222997706079, 'bagging_fraction': 0.5430486264486392, 'bagging_freq': 5, 'min_data_in_leaf': 28}",-2.2053039722343653,,,,,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 107, 'metric': 'multi_error', 'lambda_l1': 1.9826168471652486e-06, 'lambda_l2': 0.0003441505273485141, 'num_leaves': 166, 'feature_fraction': 0.5817657695442481, 'bagging_fraction': 0.9768770438861965, 'bagging_freq': 4, 'min_data_in_leaf': 203}",-2.199988388832381,,,,,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 242, 'metric': 'auc_mu', 'lambda_l1': 4.864684303781768e-06, 'lambda_l2': 0.000420942872966451, 'num_leaves': 246, 'feature_fraction': 0.5591443092620695, 'bagging_fraction': 0.9728862267783495, 'bagging_freq': 1, 'min_data_in_leaf': 12}",-2.2025029275008614,,,,,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 102, 'metric': 'multi_error', 'lambda_l1': 0.0031163278563040315, 'lambda_l2': 2.155477659159286e-06, 'num_leaves': 194, 'feature_fraction': 0.6376481398581898, 'bagging_fraction': 0.9254403428106464, 'bagging_freq': 4, 'min_data_in_leaf': 345}",-2.200092244855545,,,,,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 224, 'metric': 'auc_mu', 'lambda_l1': 1.0007140971033704e-06, 'lambda_l2': 0.001644674394461138, 'num_leaves': 128, 'feature_fraction': 0.9020730552995253, 'bagging_fraction': 0.8046469643756673, 'bagging_freq': 1, 'min_data_in_leaf': 391}",-2.199726128927692,,,,,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 155, 'metric': 'multi_logloss', 'lambda_l1': 3.569234472516548e-05, 'lambda_l2': 1.0023046420133264e-06, 'num_leaves': 215, 'feature_fraction': 0.6644771334876979, 'bagging_fraction': 0.6510212252788476, 'bagging_freq': 3, 'min_data_in_leaf': 136}",-2.2000175066852745,,,,,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 101, 'metric': 'multi_logloss', 'lambda_l1': 0.12938544843318953, 'lambda_l2': 3.168692688517447e-05, 'num_leaves': 165, 'feature_fraction': 0.7909264564184371, 'bagging_fraction': 0.42645185154788534, 'bagging_freq': 5, 'min_data_in_leaf': 443}",-2.1988614095837447,,,,,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 286, 'metric': 'multi_error', 'lambda_l1': 0.0012009965387744122, 'lambda_l2': 2.032391226209473e-07, 'num_leaves': 51, 'feature_fraction': 0.5305156785229571, 'bagging_fraction': 0.9078567623399927, 'bagging_freq': 3, 'min_data_in_leaf': 606}",-2.198666262006196,,,,,Hyper Parameter,0
04 Jun 21,LGBMClassifier,RFT,"{'num_iterations': 365, 'metric': 'auc_mu', 'lambda_l1': 1.6648698831554752e-07, 'lambda_l2': 5.172111347600453e-05, 'num_leaves': 238, 'feature_fraction': 0.994507964715085, 'bagging_fraction': 0.7784617884583717, 'bagging_freq': 1, 'min_data_in_leaf': 304}",-2.19875108064759,,,,,Hyper Parameter,0
05 Jun 21,HistGradientBoostingClassifier,RFT,"{'categorical_features': None, 'early_stopping': 'auto', 'l2_regularization': 0.0, 'learning_rate': 0.1, 'loss': 'auto', 'max_bins': 255, 'max_depth': None, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'monotonic_cst': None, 'n_iter_no_change': 10, 'random_state': None, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",-1.7591201756187766,0.0006924781699564806,84.40556486447652,5.807454678158297,-1.759812653788733,Initial modelling,1
05 Jun 21,LGBMClassifier,RFT,"{'verbosity': -1, 'force_col_wise': True, 'objective': 'multiclass', 'num_classes': 9}",-1.7625150096931514,0.001473797227590672,63.858291705449425,1.2690521156729209,-1.7639888069207421,Initial modelling,1
05 Jun 21,CatBoostClassifier,RFT,"{'verbose': 0, 'allow_writing_files': False, 'n_estimators': 1000}",-1.7506634187237522,0.001798394114520766,258.81034088134766,32.94070936650416,-1.752461812838273,Initial modelling,1
05 Jun 21,RandomForestClassifier,RFT,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",-2.012011470024722,0.001988282543609529,90.53868500391643,0.5156843322714771,-2.0139997525683317,Initial modelling,1
05 Jun 21,HistGradientBoostingClassifier,RFI,"{'categorical_features': None, 'early_stopping': 'auto', 'l2_regularization': 0.0, 'learning_rate': 0.1, 'loss': 'auto', 'max_bins': 255, 'max_depth': None, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'monotonic_cst': None, 'n_iter_no_change': 10, 'random_state': None, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",-1.897042134053815,0.00030043993642603627,3.079167445500692,0.4310060629802147,-1.8973425739902412,Initial modelling,1
05 Jun 21,LGBMClassifier,RFI,"{'verbosity': -1, 'force_col_wise': True, 'objective': 'multiclass', 'num_classes': 9}",-1.9043234069425026,0.0006358663039677461,18.628479957580566,0.14729035832791493,-1.9049592732464704,Initial modelling,1
05 Jun 21,CatBoostClassifier,RFI,"{'verbose': 0, 'allow_writing_files': False, 'n_estimators': 1000}",-1.8957790756194004,0.00012327829193803163,8.569021622339884,0.0725382303192757,-1.8959023539113384,Initial modelling,1
05 Jun 21,RandomForestClassifier,RFI,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",-15.051907473085025,0.028496570543311513,75.56033976872762,2.278682795196247,-15.080404043628336,Initial modelling,1
05 Jun 21,CatBoostClassifier,RFT,"{'n_estimators': 1151, 'learning_rate': 0.007600064784809543, 'l2_leaf_reg': 0.73203880210987, 'depth': 10, 'min_data_in_leaf': 843, 'grow_policy': 'Depthwise'}",-1.7480890651553886,0.00043817114354608453,4471.06791305542,282.3053234791997,-1.7485272362989348,Hyper Parameter,1
