iter	MultiClass
291	1.086794794
292	1.086742833
293	1.08671863
294	1.086690387
295	1.086666554
296	1.086642004
297	1.086612402
298	1.086598425
299	1.086574499
300	1.086545305
301	1.086522698
302	1.086478399
303	1.086450572
304	1.086417065
305	1.086386085
306	1.086372169
307	1.086359067
308	1.086330982
309	1.086292706
310	1.086282163
311	1.086206837
312	1.086174847
313	1.086145009
314	1.086136742
315	1.086114228
316	1.08609842
317	1.086074925
318	1.086044231
319	1.086013911
320	1.086011813
321	1.085973223
322	1.085952656
323	1.085916318
324	1.085900832
325	1.085842497
326	1.085834077
327	1.085829443
328	1.08582036
329	1.085795408
330	1.085788304
331	1.085758287
332	1.085715998
333	1.085678069
334	1.085673509
335	1.085670485
336	1.085642042
337	1.085630312
338	1.085609513
339	1.08559417
340	1.085572502
341	1.085552261
342	1.085519799
343	1.085498097
344	1.085490888
345	1.085476456
346	1.085463019
347	1.085453602
348	1.085427386
349	1.085391748
350	1.085390444
351	1.08537945
352	1.085336367
353	1.08530423
354	1.08529001
355	1.085281419
356	1.085261772
357	1.085229525
358	1.08522075
359	1.085218727
360	1.08520628
361	1.085192343
362	1.085172822
363	1.085164451
364	1.085139314
365	1.085109499
366	1.085101513
367	1.085091391
368	1.085059664
369	1.085038854
370	1.085017442
371	1.08499515
372	1.084972073
373	1.084914985
374	1.084902523
375	1.08487085
376	1.084842383
377	1.084829913
378	1.084814531
379	1.084811692
380	1.084797644
381	1.084783054
382	1.084743399
383	1.08471882
384	1.084688592
385	1.084677714
386	1.084658216
387	1.084655497
388	1.084638894
389	1.084609029
390	1.084584863
391	1.084515674
392	1.084508439
393	1.084485935
394	1.084474564
395	1.084451119
396	1.084439421
397	1.08441567
398	1.084401178
399	1.084391616
400	1.08437939
401	1.08435886
402	1.084330113
403	1.084324982
404	1.084295796
405	1.084291151
406	1.08427728
407	1.084256124
408	1.084252501
409	1.084233252
410	1.084217317
411	1.084199689
412	1.084182507
413	1.084158648
414	1.084142581
415	1.084131932
416	1.084087553
417	1.08404399
418	1.084034712
419	1.083998688
420	1.083974932
421	1.083970371
422	1.083957189
423	1.083930052
424	1.083905006
425	1.083901526
426	1.083897512
427	1.083888033
428	1.083874973
429	1.083868843
430	1.083850566
431	1.083838189
432	1.083827647
433	1.083812095
434	1.083801582
435	1.083791404
436	1.083775362
437	1.083743326
438	1.083737726
439	1.083698503
440	1.083692454
441	1.083683909
442	1.083668794
443	1.083658253
444	1.083650298
445	1.083647427
446	1.083610458
447	1.08354939
448	1.083542354
449	1.08349685
450	1.083488806
451	1.083478822
452	1.083473237
453	1.083461452
454	1.08346032
455	1.083453348
456	1.08343915
457	1.083404701
458	1.083401268
459	1.083396173
460	1.083353982
461	1.08334837
462	1.083342267
463	1.083335609
464	1.083305216
465	1.083291846
466	1.083283509
467	1.08324995
468	1.083238895
469	1.083228397
470	1.083221018
471	1.0832185
472	1.083215901
473	1.083213254
474	1.083175362
475	1.083150465
476	1.083128318
477	1.083109747
478	1.08307188
479	1.083048416
480	1.083024371
481	1.08299967
482	1.082969331
483	1.082939539
484	1.082929352
485	1.082924618
486	1.082917144
487	1.082904128
488	1.082900069
489	1.082859156
490	1.08283899
491	1.082835673
492	1.08281775
493	1.082813413
494	1.082809361
495	1.082806456
496	1.0827743
497	1.082752207
498	1.082748261
499	1.082736788
500	1.082730621
501	1.082706368
502	1.082688376
503	1.082680625
504	1.0826683
505	1.082629628
506	1.082611428
507	1.082602503
508	1.082593702
509	1.082586787
510	1.082560394
511	1.082543202
512	1.082534323
513	1.082526812
514	1.082518723
515	1.082512602
516	1.082504075
517	1.082488657
518	1.082472176
519	1.082441678
520	1.082434801
521	1.082412915
522	1.082358415
523	1.082330166
524	1.08230938
525	1.082295966
526	1.082263129
527	1.082251573
528	1.082246644
529	1.082243055
530	1.082213167
531	1.082212605
532	1.082208273
533	1.082179019
534	1.082167986
535	1.08215701
536	1.082149136
537	1.082142317
538	1.082135619
539	1.082110768
540	1.082091772
541	1.082075782
542	1.082060753
543	1.082058767
544	1.082057975
545	1.082045921
546	1.082039186
547	1.082036236
548	1.08202781
549	1.082000573
550	1.081997511
551	1.081991787
552	1.08198389
553	1.081983417
554	1.081964731
555	1.081943998
556	1.081934903
557	1.081925646
558	1.081883783
559	1.081876649
560	1.081869595
561	1.081864123
562	1.081857168
563	1.081837946
564	1.081830238
565	1.081819657
566	1.081813993
567	1.081793627
568	1.08178864
569	1.081768956
570	1.081760805
571	1.081729393
572	1.081724408
573	1.081710988
574	1.081694673
575	1.081689229
576	1.081687831
577	1.081664988
578	1.081662844
579	1.08161119
580	1.081596258
581	1.081574257
582	1.081555489
583	1.081532938
584	1.081530371
585	1.081521354
586	1.081518782
587	1.081514266
588	1.08149736
589	1.081465792
590	1.081459477
591	1.081452153
592	1.081443668
593	1.08143638
594	1.081415709
595	1.081402363
596	1.081400224
597	1.081380701
598	1.081372178
599	1.081368922
600	1.081366811
601	1.081359288
602	1.081347225
603	1.081345085
604	1.081342078
605	1.081330597
606	1.081311293
607	1.081308075
608	1.081283986
609	1.081275703
610	1.081270331
611	1.081257452
612	1.08123523
613	1.081229656
614	1.081213225
615	1.081192568
616	1.08118791
617	1.081182835
618	1.08117641
619	1.081129218
620	1.081109893
621	1.081109021
622	1.081106
623	1.081076692
624	1.081048575
625	1.081039711
626	1.081035886
627	1.081034042
628	1.081023697
629	1.08102029
630	1.081007821
631	1.081000855
632	1.080999198
633	1.080984464
634	1.080979188
635	1.080976592
636	1.0809645
637	1.080955635
638	1.080948821
639	1.080929593
640	1.080908843
641	1.080905497
642	1.080898291
643	1.080884051
644	1.080877813
645	1.080871882
646	1.080854708
647	1.08084998
648	1.08083997
649	1.080835847
650	1.080826289
651	1.080824311
652	1.080807438
653	1.080788341
654	1.08078082
655	1.080775864
656	1.080754373
657	1.080752719
658	1.080735467
659	1.080703702
660	1.080701183
661	1.080696415
662	1.080688774
663	1.080669907
664	1.080662666
665	1.080635012
666	1.080613414
667	1.080601258
668	1.080598604
669	1.080582103
670	1.08056588
671	1.080538941
672	1.080537284
673	1.080535117
674	1.080529293
675	1.080519877
676	1.080514208
677	1.080506668
678	1.080502375
679	1.080497952
680	1.080480047
681	1.080469211
682	1.0804407
683	1.080433775
684	1.080429008
685	1.080422277
686	1.08038909
687	1.0803773
688	1.080355249
689	1.08034215
690	1.080322177
691	1.080317405
692	1.080313162
693	1.080301311
694	1.080296068
695	1.08027301
696	1.080252816
697	1.080250122
698	1.080247528
699	1.080245144
700	1.080238203
701	1.080235656
702	1.080233302
703	1.080228479
704	1.080210384
705	1.080198025
706	1.080184735
707	1.080183649
708	1.080180851
709	1.080179241
710	1.080159221
711	1.080134057
712	1.080121721
713	1.080118297
714	1.080115916
715	1.080109427
716	1.080091476
717	1.080089231
718	1.080082197
719	1.080079282
720	1.080071988
721	1.08004884
722	1.080045154
723	1.080029229
724	1.080024564
725	1.080010424
726	1.079975916
727	1.079968269
728	1.079966182
729	1.079937439
730	1.07993063
731	1.079928162
732	1.079923739
733	1.079897633
734	1.079889755
735	1.07988844
736	1.079887834
737	1.079859754
738	1.079856273
739	1.079850047
740	1.079848122
741	1.079843574
742	1.079831595
743	1.079828738
744	1.079817448
745	1.079811003
746	1.079800837
747	1.079793176
748	1.079779186
749	1.079771857
750	1.079759602
751	1.079755632
752	1.079740599
753	1.079738466
754	1.079710633
755	1.079707595
756	1.079697558
757	1.07967095
758	1.079669714
759	1.079651659
760	1.079646936
761	1.079642168
762	1.079630456
763	1.079627194
764	1.079610802
765	1.07960777
766	1.079599875
767	1.079586553
768	1.079570271
769	1.079550244
770	1.079548812
771	1.079533975
772	1.079514107
773	1.079499639
774	1.079498471
775	1.079486059
776	1.079482031
777	1.079475155
778	1.07946455
779	1.079457872
780	1.079456023
781	1.079452954
782	1.079448444
783	1.079433614
784	1.079428033
785	1.079398584
786	1.079394257
787	1.079386837
788	1.079381135
789	1.079362738
790	1.079354546
791	1.079348753
792	1.079344932
793	1.079342669
794	1.079336527
795	1.079329251
796	1.079310647
797	1.079307679
798	1.079306273
799	1.079296065
800	1.079284904
801	1.07928002
802	1.07924851
803	1.079245795
804	1.079242042
805	1.079215013
806	1.079189775
807	1.079160642
808	1.079142264
809	1.079137737
810	1.079134073
811	1.079130846
812	1.07911563
813	1.079096701
814	1.079092006
